EmployeeCount,EmployeeID,Department,JobRole,Gender,Age,MaritalStatus,Education,EducationField,BusinessTravel,DistanceFromHome(kms),JobInvolvement,JobLevel,JobSatisfaction,HourlyRate(USD),DailyRate(USD),MonthlyRate(USD),MonthlyIncome (USD),SalaryHike(RS),StockOptionLevel,StandardHours,OverTime,No.ofCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrmanager,EnvironmentSatisfaction,TrainingTimesLastYear,WorkLifeBalance,PerformanceRating,RelationshipSatisfaction,Attrition
1,22,2,3,1,22,3,2,4,0,16,4,1,4,96,1123,7324,2935,1300,2,80,1,1,1,1,0,0,0,4,2,2,1,2,0
1,23,3,4,0,53,2,4,2,1,2,2,4,4,78,1219,22021,15427,1600,0,80,0,2,31,25,8,3,7,1,3,3,1,3,0
1,24,2,7,1,38,1,3,2,1,2,3,1,4,45,371,4306,3944,1100,0,80,1,5,6,3,2,1,2,4,3,3,1,3,0
1,26,2,5,0,24,3,2,5,0,11,4,2,3,96,673,8232,4011,1800,1,80,0,0,5,4,2,1,3,1,5,2,1,4,0
1,27,3,9,1,36,1,4,2,1,9,2,1,1,82,1218,6986,3407,2300,0,80,0,7,10,5,3,0,3,3,4,3,2,2,1
1,28,2,6,0,34,1,4,2,1,7,3,3,2,53,419,21293,11994,1100,0,80,0,0,13,12,6,2,11,1,4,3,1,3,0
1,30,2,7,1,21,1,2,2,1,15,3,1,4,96,391,19281,1232,1400,0,80,0,1,0,0,0,0,0,3,6,3,1,4,0
1,31,2,7,1,34,1,1,4,1,6,3,1,1,83,699,17102,2960,1100,0,80,0,2,8,4,2,1,3,2,2,3,1,3,1
1,32,2,4,0,53,3,3,5,1,5,3,5,3,58,1282,10735,19094,1100,1,80,0,4,26,14,13,4,8,3,3,2,1,4,0
1,33,2,7,0,32,1,1,2,2,16,1,1,1,72,1125,4681,3919,2200,0,80,1,1,10,10,2,6,7,2,5,3,2,2,1
1,35,3,8,1,42,2,4,3,1,8,3,2,2,48,691,21173,6825,1100,1,80,0,0,10,9,7,4,2,3,2,3,1,4,0
1,36,2,1,0,44,2,4,4,1,7,2,3,4,42,477,2094,10248,1400,1,80,0,3,24,22,6,5,17,1,4,3,1,4,0
1,38,3,4,0,46,1,4,3,1,2,3,5,1,83,705,22822,18947,1200,0,80,0,3,22,2,2,2,1,2,2,2,1,4,0
1,39,2,3,1,33,1,3,4,1,2,3,1,4,78,924,6670,2496,1100,0,80,0,4,7,1,1,0,0,3,3,3,1,4,0
1,40,2,1,1,44,2,4,5,1,10,3,2,4,41,1459,19121,6465,1300,0,80,1,2,9,4,2,1,3,4,5,4,1,4,0
1,41,2,3,1,30,1,2,4,1,9,2,1,3,83,125,16117,2206,1300,0,80,0,1,10,10,0,1,8,4,5,3,1,1,0
1,42,3,9,1,39,2,3,6,1,5,3,2,4,56,895,3335,2086,1400,1,80,0,3,19,1,0,0,0,4,6,4,1,3,1
1,45,2,7,1,24,2,3,4,1,1,3,1,4,61,813,3020,2293,1600,1,80,1,2,6,2,0,2,0,2,2,2,1,1,1
1,46,2,7,0,43,3,2,4,1,2,4,1,3,72,1273,21923,2645,1200,2,80,0,1,6,5,3,1,4,4,3,2,1,4,0
1,47,3,9,1,50,2,2,3,1,3,2,1,3,86,869,3810,2683,1400,0,80,1,1,3,3,2,0,2,1,2,3,1,3,1
1,49,3,9,0,35,2,3,3,1,2,3,1,4,97,890,9687,2014,1300,0,80,0,1,2,2,2,2,2,4,3,3,1,1,0
1,51,2,7,0,36,2,4,2,1,5,2,1,1,82,852,13072,3419,1400,1,80,1,9,6,1,1,0,0,2,3,4,1,4,0
1,52,3,8,0,33,2,3,2,2,1,4,2,1,42,1141,3193,5376,1900,2,80,0,2,10,5,3,1,3,3,3,3,1,1,0
1,53,2,3,1,35,3,2,5,1,4,3,1,4,75,464,10910,1951,1200,1,80,0,1,1,1,0,0,0,3,3,3,1,3,0
1,54,2,3,0,27,3,4,2,1,2,3,1,1,33,1240,19715,2341,1300,1,80,0,1,1,1,0,0,0,4,6,3,1,4,0
1,55,2,3,1,26,1,3,2,1,25,1,1,3,48,1357,10558,2293,1200,0,80,0,1,1,1,0,0,1,1,2,2,1,3,1
1,56,3,8,1,27,1,3,2,2,8,3,3,3,37,994,2975,8726,1500,0,80,0,1,9,9,8,1,7,4,0,3,1,4,0
1,57,2,3,0,30,1,2,4,2,1,3,2,4,58,721,10781,4011,2300,0,80,0,1,12,12,8,3,7,3,2,3,2,4,0
1,58,2,6,0,41,2,3,6,1,12,3,5,3,49,1360,16280,19545,1200,0,80,0,1,23,22,15,15,8,2,0,3,1,4,1
1,60,3,8,1,34,1,4,3,0,23,3,2,3,72,1065,10034,4568,2000,0,80,0,0,10,9,5,8,7,2,2,3,2,3,0
1,61,2,7,1,37,2,2,2,1,19,3,1,2,73,408,10227,3022,2100,0,80,0,4,8,1,0,0,0,2,1,3,2,1,0
1,62,3,8,1,46,1,4,3,2,5,3,2,4,98,1211,20445,5772,2100,0,80,1,4,14,9,6,0,8,1,4,3,2,3,0
1,63,2,3,1,35,2,1,2,1,8,4,1,4,36,1229,4892,2269,1900,0,80,0,1,1,1,0,0,1,4,2,3,1,4,0
1,64,2,3,1,48,1,2,2,1,1,2,3,3,98,626,19294,5381,1300,0,80,1,9,23,1,0,0,0,1,2,3,1,4,1
1,65,2,3,1,28,1,4,6,1,5,3,1,3,50,1434,11179,3441,1300,0,80,1,1,2,2,2,2,2,3,3,2,1,3,1
1,68,3,8,0,44,3,5,3,1,1,3,2,1,75,1488,4009,5454,2100,1,80,1,5,9,4,3,1,3,2,2,2,2,3,0
1,70,2,1,1,35,2,2,4,0,11,2,3,1,79,1097,8302,9884,1300,1,80,1,2,10,4,0,2,3,3,3,3,1,3,0
1,72,3,8,0,26,2,3,3,1,23,2,2,4,47,1443,21436,4157,1900,1,80,1,7,5,2,2,0,0,3,2,2,1,3,0
1,73,2,6,0,33,1,2,2,2,1,3,3,4,98,515,15146,13458,1200,0,80,1,1,15,15,14,8,12,1,1,3,1,3,0
1,74,3,8,1,35,2,5,2,2,18,3,3,1,71,853,11031,9069,2200,1,80,0,1,9,9,8,1,8,2,3,2,2,4,0
1,75,2,3,0,35,2,4,4,1,23,3,1,1,30,1142,16002,4014,1500,1,80,1,3,4,2,2,2,2,3,3,3,1,3,0
1,76,2,3,1,31,3,4,2,1,7,3,2,4,48,655,9528,5915,2200,1,80,0,3,10,7,7,1,7,4,3,2,2,4,0
1,77,2,5,1,37,3,4,2,1,1,2,2,3,51,1115,2689,5993,1800,1,80,0,1,7,7,5,0,7,1,2,4,1,3,0
1,78,2,5,1,32,2,3,4,1,1,3,2,4,33,427,10877,6162,2200,1,80,1,1,9,9,8,7,8,1,3,3,2,2,0
1,79,2,3,0,38,1,5,2,2,29,3,2,4,50,653,5456,2406,1100,0,80,0,1,10,10,3,9,9,4,2,3,1,4,0
1,80,2,6,0,50,3,2,4,1,7,2,5,3,43,989,16701,18740,1200,1,80,1,5,29,27,3,13,8,2,2,2,1,4,0
1,81,3,8,0,59,1,3,2,1,25,3,3,1,99,1435,2354,7637,1100,0,80,0,7,28,21,16,7,9,1,3,2,1,4,0
1,83,2,1,0,36,3,3,6,1,8,3,3,3,59,1223,8202,10096,1300,3,80,0,1,17,17,14,12,8,3,2,3,1,2,0
1,84,2,4,0,55,3,3,4,1,8,3,4,3,33,836,19730,14756,1400,3,80,1,2,21,5,0,0,2,4,2,3,1,3,0
1,85,2,5,1,36,1,3,2,2,11,2,2,2,95,1195,22656,6499,1300,0,80,0,1,6,6,5,0,3,2,3,3,1,3,0
1,86,2,7,1,45,3,3,2,1,7,3,3,1,59,1339,18787,9724,1700,1,80,0,2,25,1,0,0,0,2,2,3,1,3,0
1,88,2,7,1,35,2,3,4,2,1,3,1,1,79,664,5868,2194,1300,1,80,0,4,5,3,2,1,2,2,2,2,1,4,0
1,90,2,7,1,36,2,3,4,1,9,2,1,3,79,318,21777,3388,1700,1,80,1,0,2,1,0,0,0,4,0,2,1,1,1
1,91,3,8,0,59,1,1,2,2,1,2,2,3,57,1225,24668,5473,1100,0,80,0,7,20,4,3,1,3,1,2,2,1,4,0
1,94,2,7,1,29,2,3,2,1,2,3,1,2,76,1328,4956,2703,2300,1,80,0,0,6,5,4,0,4,3,3,3,2,4,0
1,95,2,7,1,31,1,4,4,1,1,3,1,2,87,1082,18775,2501,1700,0,80,0,1,1,1,1,1,0,3,4,3,1,2,0
1,96,2,7,1,32,2,3,2,1,1,3,2,2,66,548,7346,6220,1700,2,80,0,1,10,10,4,0,9,2,3,3,1,2,0
1,97,2,3,0,36,2,3,2,1,6,4,1,4,55,132,22002,3038,1200,0,80,0,3,5,1,0,0,0,2,3,3,1,2,0
1,98,2,5,0,31,1,4,2,1,8,3,2,4,61,746,20682,4424,2300,0,80,0,1,11,11,7,1,8,3,2,3,2,4,0
1,100,3,8,1,35,1,4,3,1,1,2,2,1,32,776,23016,4312,1400,0,80,0,0,16,15,13,2,8,3,2,3,1,2,0
1,101,2,6,1,45,2,4,5,1,6,3,3,1,52,193,15067,13245,1400,0,80,1,4,17,0,0,0,0,4,3,4,1,2,0
1,102,2,6,1,37,1,4,4,1,7,3,3,3,30,397,25258,13664,1300,0,80,0,4,16,5,2,0,2,1,3,4,1,1,0
1,103,1,1,1,46,3,2,4,1,5,3,2,2,80,945,10425,5021,2200,1,80,1,8,16,4,2,0,2,2,2,3,2,4,0
1,104,2,3,1,30,2,1,2,1,1,2,2,4,55,852,15998,5126,1200,2,80,1,1,10,10,8,3,0,4,1,2,1,3,0
1,105,2,7,1,35,1,3,4,1,1,2,1,3,30,1214,26278,2859,1800,0,80,0,1,6,6,4,0,4,2,3,3,1,1,0
1,106,3,8,1,55,2,2,2,1,1,3,3,4,70,111,18092,10239,1400,1,80,0,3,24,1,0,1,0,1,4,3,1,4,0
1,107,2,7,0,38,3,3,4,0,6,1,2,4,79,573,15717,5329,1200,3,80,1,7,17,13,11,1,9,2,3,3,1,4,0
1,110,2,5,1,34,2,2,4,1,1,3,2,2,94,1153,17736,4325,1500,0,80,0,1,5,5,2,1,3,1,2,3,1,3,0
1,112,2,5,1,56,1,3,2,1,7,1,3,4,49,1400,21698,7260,1100,0,80,0,4,37,6,4,0,2,4,3,2,1,1,0
1,113,3,9,1,23,3,1,6,1,2,3,1,1,62,541,9518,2322,1300,1,80,0,3,3,0,0,0,0,3,3,3,1,3,0
1,116,2,3,1,51,2,4,2,1,9,3,1,4,96,432,18725,2075,2300,2,80,0,3,10,4,2,0,3,4,4,3,2,2,0
1,117,2,1,1,30,2,3,2,1,2,2,2,4,99,288,15830,4152,1900,3,80,0,1,11,11,10,10,8,3,3,3,1,1,0
1,118,3,8,1,46,1,2,4,1,9,2,3,4,64,669,13596,9619,1600,0,80,0,1,9,9,8,4,7,3,3,3,1,4,1
1,119,2,1,1,40,2,4,2,2,1,2,4,2,78,530,14115,13503,2200,1,80,0,1,22,22,3,11,11,3,3,2,2,4,0
1,120,3,8,1,51,1,4,3,1,21,3,2,4,71,632,8423,5441,2200,0,80,1,0,11,10,7,1,0,3,2,1,2,4,0
1,121,3,8,0,30,3,2,4,1,4,2,2,2,63,1334,19760,5209,1200,3,80,1,1,11,11,8,2,7,3,4,2,1,2,0
1,124,2,1,1,46,2,3,4,2,1,2,3,1,40,638,3142,10673,1300,1,80,1,2,21,10,9,9,5,3,5,2,1,3,0
1,125,3,8,1,32,1,4,4,1,6,3,2,3,87,1093,24301,5010,1600,0,80,0,1,12,11,8,5,7,2,0,3,1,1,0
1,126,2,6,0,54,2,4,6,1,2,3,3,3,60,1217,24001,13549,1200,1,80,0,9,16,4,3,0,3,1,5,1,1,1,0
1,128,3,8,0,24,2,2,5,1,3,3,2,3,33,1353,17519,4999,2100,1,80,0,0,4,3,2,0,2,1,2,2,2,1,0
1,129,3,8,1,28,2,3,4,0,4,3,2,3,43,120,8863,4221,1500,0,80,0,1,5,5,4,0,4,2,3,4,1,2,0
1,131,3,8,1,58,1,4,4,1,10,3,4,3,37,682,24409,13872,1300,0,80,0,0,38,37,10,1,8,4,1,2,1,3,0
1,132,2,3,1,44,2,3,4,0,23,3,2,2,67,489,25043,2042,1200,1,80,0,4,17,3,2,1,2,2,3,4,1,3,0
1,133,1,1,1,37,3,4,1,1,6,3,1,1,63,807,23648,2073,2200,0,80,1,4,7,3,2,0,2,3,3,3,2,4,1
1,134,2,7,1,32,1,1,2,1,1,3,1,1,71,827,15178,2956,1300,0,80,0,1,1,1,0,0,0,4,2,3,1,4,0
1,137,2,3,0,20,1,3,2,2,6,2,1,4,66,871,19783,2926,1800,0,80,1,1,1,1,0,1,0,4,5,3,1,2,1
1,138,2,7,0,34,1,4,5,1,6,3,2,3,41,665,12482,4809,1400,0,80,0,1,16,16,13,2,10,1,3,3,1,3,0
1,139,2,1,1,37,3,2,2,0,2,2,2,4,100,1040,15850,5163,1400,1,80,0,5,17,1,0,0,0,3,2,4,1,4,0
1,140,1,4,0,59,2,4,1,0,2,2,5,4,32,1420,21922,18844,2100,1,80,0,9,30,3,2,2,2,3,3,3,2,4,0
1,141,2,6,0,50,2,3,2,2,1,3,5,2,73,1115,9755,18172,1900,0,80,1,3,28,8,3,0,7,1,1,2,1,1,0
1,142,3,8,1,25,1,3,3,1,5,2,2,3,46,240,26959,5744,1100,0,80,1,1,6,6,4,0,3,3,1,3,1,4,1
1,143,2,7,1,25,2,1,4,1,7,2,1,4,64,1280,26897,2889,1100,2,80,0,1,2,2,2,2,1,4,2,3,1,3,0
1,144,2,3,0,22,1,3,4,1,15,3,1,4,59,534,23785,2871,1500,0,80,0,1,1,0,0,0,0,2,5,3,1,3,0
1,145,2,1,0,51,1,4,4,2,1,2,3,1,30,1456,25796,7484,2000,0,80,0,3,23,13,12,12,8,1,1,2,2,3,0
1,147,2,3,1,34,1,3,2,2,7,1,2,3,66,658,22887,6074,2400,0,80,1,1,9,9,7,0,6,1,3,3,2,4,1
1,148,1,4,0,54,1,3,1,0,26,4,4,4,30,142,13871,17328,1200,0,80,1,2,23,5,3,4,4,4,3,3,1,3,0
1,150,2,3,1,24,2,1,2,1,18,3,1,3,52,1127,13257,2774,1200,1,80,0,0,6,5,3,1,2,2,2,3,1,3,0
1,151,2,7,0,34,3,4,2,1,6,2,2,2,45,1031,15000,4505,1500,1,80,0,6,12,1,0,0,0,3,3,3,1,3,0
1,152,3,8,1,37,1,3,2,1,3,3,3,4,87,1189,14506,7428,1200,0,80,0,2,12,5,3,1,3,3,3,3,1,1,0
1,153,2,4,0,34,1,3,4,1,5,2,3,1,45,1354,5615,11631,1200,0,80,0,2,14,11,10,5,8,3,6,3,1,4,0
1,154,3,8,0,36,2,2,6,2,11,3,3,4,92,1467,22952,9738,1400,1,80,0,0,10,9,7,2,8,2,6,3,1,3,0
1,155,2,3,0,36,3,2,2,1,3,3,1,4,39,922,2561,2835,2200,1,80,0,5,7,1,0,0,0,1,2,3,2,1,0
1,158,3,4,1,43,2,2,2,2,26,3,4,4,92,394,19494,16959,1200,2,80,1,1,25,25,12,4,12,3,3,4,1,4,0
1,159,2,7,1,30,3,3,2,2,23,1,1,3,96,1312,22310,2613,2500,3,80,0,1,10,10,7,0,9,1,2,2,2,3,0
1,160,3,8,1,33,2,2,3,0,22,3,2,2,95,750,15480,6146,1300,1,80,0,0,8,7,7,0,7,3,2,4,1,1,0
1,161,2,7,0,56,2,4,2,1,14,3,1,2,72,441,4510,4963,1800,3,80,1,9,7,5,4,4,3,2,2,3,1,1,1
1,162,2,6,1,51,1,3,2,1,6,3,5,3,51,684,6462,19537,1300,0,80,0,7,23,20,18,15,15,1,5,3,1,3,0
1,163,3,8,1,31,2,4,2,1,6,1,2,3,76,249,20739,6172,1800,0,80,1,4,12,7,7,7,7,2,3,2,1,2,1
1,164,2,7,0,26,2,3,5,1,6,2,1,2,46,841,23300,2368,1900,0,80,0,1,5,5,4,4,3,3,3,2,1,3,0
1,165,2,1,0,58,2,4,4,1,23,3,3,4,94,147,3465,10312,1200,1,80,0,1,40,40,10,15,6,4,3,2,1,4,1
1,167,3,9,1,19,1,1,3,1,22,3,1,3,50,528,26820,1675,1900,0,80,1,1,0,0,0,0,0,4,2,2,1,4,1
1,169,2,3,1,22,2,1,6,1,2,3,1,4,100,594,19299,2523,1400,1,80,0,0,3,2,1,2,1,3,2,3,1,3,0
1,170,2,5,0,49,2,4,4,1,20,3,2,1,96,470,5549,6567,1400,0,80,0,1,16,15,11,5,11,3,2,2,1,3,0
1,171,2,7,0,43,1,3,4,2,28,4,1,3,72,957,16090,4739,1200,0,80,0,4,18,3,2,1,2,2,2,3,1,4,0
1,174,3,8,0,50,1,3,3,2,12,3,3,4,77,809,6645,9208,1100,0,80,0,4,16,2,2,2,1,3,3,3,1,4,0
1,175,3,8,0,31,2,3,2,1,20,1,2,3,71,542,24788,4559,1100,1,80,1,3,4,2,2,2,2,2,2,3,1,3,1
1,176,3,8,1,41,3,1,2,1,9,3,3,3,96,802,21196,8189,1300,1,80,1,3,12,9,7,0,7,3,2,3,1,3,0
1,177,1,1,0,26,2,1,2,1,25,3,1,3,61,1355,8916,2942,2300,1,80,0,1,8,8,7,5,7,3,3,3,2,4,0
1,178,2,5,1,36,3,2,4,1,6,3,2,2,84,216,2819,4941,2000,2,80,0,6,7,3,2,0,1,2,0,3,2,4,0
1,179,2,5,1,51,1,4,2,2,8,1,3,4,53,1150,25150,10650,1500,0,80,0,2,18,4,2,0,3,1,2,3,1,4,1
1,182,3,8,0,39,2,4,2,1,4,2,2,3,47,1329,14590,5902,1400,1,80,0,4,17,15,11,5,9,4,1,4,1,3,0
1,183,3,8,1,25,2,3,2,1,28,2,2,3,41,959,24835,8639,1800,0,80,0,2,6,2,2,2,2,1,3,3,1,4,0
1,184,1,1,1,30,2,3,1,1,9,3,2,4,48,1240,13982,6347,1900,0,80,1,0,12,11,9,4,7,3,2,1,1,4,0
1,190,2,3,0,32,1,3,4,1,9,3,1,1,41,1033,10224,4200,2200,0,80,0,7,10,5,4,0,4,1,2,4,2,1,1
1,192,2,7,1,45,1,3,4,1,29,3,1,4,83,1316,9752,3452,1300,0,80,0,5,9,6,5,0,3,3,2,2,1,2,0
1,193,2,7,0,38,1,5,6,1,3,3,2,3,32,364,2302,4317,2000,0,80,1,3,19,3,2,2,2,4,2,3,2,2,0
1,194,2,7,0,30,1,3,2,1,18,3,1,3,75,438,23910,2632,1400,0,80,0,1,5,5,4,0,4,1,4,2,1,3,0
1,195,3,8,1,32,3,2,4,2,9,1,2,4,35,689,22812,4668,1700,3,80,0,0,9,8,7,0,7,4,2,4,1,4,0
1,197,2,7,0,30,3,3,6,1,5,3,1,1,84,201,10415,3204,1400,1,80,0,5,8,3,2,2,2,4,3,3,1,4,0
1,198,2,3,1,30,1,1,4,1,2,2,1,4,35,1427,11162,2720,1300,0,80,0,0,6,5,3,1,2,2,3,3,1,4,0
1,199,2,4,1,41,3,3,2,2,10,2,4,1,91,857,12888,17181,1300,1,80,0,4,21,7,6,7,7,4,2,2,1,2,0
1,200,2,3,1,41,2,4,2,1,9,3,1,1,94,933,6961,2238,2100,1,80,0,2,7,5,0,1,4,3,2,3,2,4,0
1,201,2,3,0,19,1,1,4,1,3,3,1,2,79,1181,16102,1483,1400,0,80,0,1,1,1,0,0,0,2,3,3,1,4,0
1,202,2,7,0,40,3,3,4,2,26,3,2,2,54,1395,8504,5605,1100,1,80,0,1,20,20,7,2,13,2,2,3,1,1,0
1,204,3,8,1,35,2,5,3,1,1,3,3,2,94,662,11439,7295,1300,2,80,0,1,10,10,8,0,6,3,3,3,1,1,0
1,205,3,9,1,53,2,2,3,1,6,3,2,3,34,1436,16047,2306,2000,1,80,1,2,13,7,7,4,5,2,3,1,2,4,0
1,206,2,3,1,45,3,3,2,1,9,3,2,2,60,194,10901,2348,1800,1,80,0,8,20,17,9,0,15,2,2,1,1,3,0
1,207,3,8,0,32,1,3,3,2,8,3,3,4,43,967,15589,8998,1400,0,80,0,1,9,9,8,3,7,2,2,3,1,4,0
1,208,2,5,1,29,2,1,6,0,1,3,2,3,41,1496,26283,4319,1300,1,80,0,1,10,10,7,0,9,4,1,3,1,1,0
1,211,2,5,1,51,2,4,4,1,7,2,2,3,34,1169,13983,6132,1700,0,80,0,2,10,1,0,0,0,2,2,3,1,3,0
1,214,2,7,0,58,2,3,4,1,9,2,1,2,75,1145,11873,3346,2000,1,80,1,4,9,1,0,0,0,2,3,2,2,2,0
1,215,3,8,1,40,2,4,3,1,4,2,3,4,67,630,8552,10855,1100,1,80,0,7,15,12,11,2,11,3,2,2,1,1,0
1,216,3,9,0,34,2,4,3,2,2,3,1,3,75,303,11314,2231,1800,1,80,0,6,6,4,3,1,2,3,3,3,1,4,0
1,217,2,7,1,22,2,1,4,1,19,3,1,4,80,1256,11992,2323,2400,2,80,0,1,2,2,2,2,2,3,6,3,2,1,0
1,218,2,7,1,27,3,3,4,0,9,3,1,2,57,691,5970,2024,1800,1,80,0,6,6,2,2,2,2,4,1,1,1,4,0
1,221,2,7,1,28,2,3,4,1,21,3,1,4,42,440,6672,2713,1100,1,80,0,1,5,5,2,0,2,3,2,1,1,3,0
1,223,2,1,1,57,3,2,2,1,24,4,3,4,83,334,23402,9439,1600,1,80,1,3,12,5,3,1,4,3,2,1,1,2,0
1,224,2,7,1,27,3,3,4,0,3,2,1,3,79,1450,25326,2566,1500,1,80,1,1,1,1,1,0,1,3,2,2,1,4,0
1,226,2,4,0,50,1,3,2,1,11,3,5,2,53,1452,17053,19926,1500,0,80,0,3,21,5,4,4,4,3,5,3,1,2,0
1,227,2,7,1,41,3,3,2,1,14,3,1,3,56,465,4609,2451,1200,1,80,0,4,13,9,8,1,8,1,2,3,1,1,0
1,228,3,8,0,30,2,3,2,1,5,3,3,4,41,1339,8053,9419,1200,1,80,0,2,12,10,9,7,4,2,2,3,1,3,0
1,230,3,8,0,38,1,4,2,1,1,2,2,4,59,702,12930,8686,2200,0,80,0,4,12,8,3,0,7,1,2,4,2,3,0
1,231,2,7,1,32,1,5,2,1,6,3,1,3,43,120,12430,3038,2000,0,80,0,3,8,5,4,1,4,3,2,3,2,1,0
1,233,2,7,1,27,2,3,6,1,17,3,1,2,51,1157,13364,3058,1600,1,80,1,0,6,5,2,1,1,3,3,2,1,4,0
1,235,3,9,0,19,1,1,6,2,1,1,1,1,100,602,20989,2325,2100,0,80,0,0,1,0,0,0,0,3,5,4,2,1,1
1,238,2,3,1,36,1,2,4,2,3,3,1,2,30,1480,15062,2088,1200,0,80,0,4,13,8,7,7,2,4,3,2,1,3,0
1,239,2,3,1,30,3,3,4,0,9,3,2,1,66,111,11012,3072,1100,2,80,0,1,12,12,9,6,10,3,4,3,1,3,0
1,240,3,8,0,45,3,2,2,1,4,3,2,1,30,1268,6319,5006,1100,1,80,1,4,9,5,4,0,3,3,3,4,1,1,0
1,241,2,7,0,56,3,3,2,1,8,3,1,1,67,713,13939,4257,1800,1,80,1,4,19,2,2,2,2,3,3,3,1,3,0
1,242,2,7,1,33,1,3,2,1,2,3,1,4,90,134,10515,2500,1400,0,80,0,0,4,3,1,0,2,3,2,4,1,1,0
1,243,2,3,1,19,1,3,2,1,2,2,1,4,47,303,9241,1102,2200,0,80,0,1,1,1,0,1,0,2,3,2,2,3,1
1,244,3,8,0,46,3,2,3,1,1,3,3,1,92,526,2137,10453,2500,3,80,0,1,24,24,13,15,7,2,2,3,2,3,0
1,245,2,3,0,38,1,2,2,1,9,3,1,4,75,1380,6319,2288,1200,0,80,0,1,2,2,2,2,1,3,3,3,1,3,0
1,246,2,7,0,31,2,1,4,1,12,3,1,4,95,140,6984,3929,2300,1,80,1,8,7,4,2,0,2,3,0,3,2,3,0
1,247,2,7,0,34,1,2,4,1,27,3,1,2,95,629,5711,2311,1500,0,80,0,2,9,3,2,1,2,4,3,3,1,4,0
1,248,3,9,0,41,1,2,3,1,20,3,1,2,70,1356,21728,3140,2200,0,80,1,1,4,4,3,0,2,2,5,2,2,4,1
1,249,2,3,1,50,2,3,4,1,1,2,1,3,86,328,3425,3690,1500,1,80,0,2,5,3,2,0,2,3,2,2,1,4,0
1,250,2,5,0,53,3,2,4,1,13,4,2,1,57,1084,26250,4450,1100,2,80,0,1,5,4,2,1,3,4,3,3,1,3,0
1,252,2,7,0,33,2,3,4,1,14,3,1,2,72,931,4673,2756,1300,1,80,0,1,8,8,7,1,6,4,5,3,1,4,0
1,253,2,4,0,40,2,1,4,1,4,3,5,3,46,989,6499,19033,1400,1,80,0,1,21,20,8,9,9,4,2,3,1,2,0
