Employee Count,Employee ID,Department,Job Role,Gender,Age,Over 18,Marital Status,Education,Education Field,Business Travel,Distance From Home (kms),Job Involvement,Job Level,Job Satisfaction,Hourly Rate (USD),Daily Rate (USD),Monthly Rate (USD),Monthly Income (USD),Salary Hike (%),Stock Option Level,Standard Hours,Over Time,No. of Companies Worked,Total Working Years,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager,Environment Satisfaction,Training Times Last Year,Work Life Balance,Performance Rating,Relationship Satisfaction,Attrition (Yes/No)
1,15,Research & Development,Laboratory Technician,Female,29,Y,Single,College,Life Sciences,Travel_Rarely,15,Medium,2,High,49,153,12682,4193,12,0,80,Yes,0,10,9,5,0,8,Very High,3,Better,Excellent,Very High,No
1,16,Research & Development,Research Scientist,Male,31,Y,Divorced,Below College,Life Sciences,Travel_Rarely,26,High,1,High,31,670,15170,2911,17,1,80,No,1,5,5,2,4,3,Low,1,Good,Excellent,Very High,No
1,18,Research & Development,Laboratory Technician,Male,34,Y,Divorced,College,Medical,Travel_Rarely,19,High,1,Very High,93,1346,8758,2661,11,1,80,No,0,3,2,2,1,2,Medium,2,Better,Excellent,High,No
1,19,Research & Development,Laboratory Technician,Male,28,Y,Single,Bachelor,Life Sciences,Travel_Rarely,24,Medium,1,High,50,103,12947,2028,14,0,80,Yes,5,6,4,2,0,3,High,4,Better,Excellent,Medium,Yes
1,20,Research & Development,Manufacturing Director,Female,29,Y,Divorced,Master,Life Sciences,Travel_Rarely,21,Very High,3,Low,51,1389,10195,9980,11,1,80,No,1,10,10,9,8,8,Medium,1,Better,Excellent,High,No
1,21,Research & Development,Research Scientist,Male,32,Y,Divorced,College,Life Sciences,Travel_Rarely,5,Very High,1,Medium,80,334,15053,3298,12,2,80,Yes,0,7,6,2,0,5,Low,5,Good,Excellent,Very High,No
1,22,Research & Development,Laboratory Technician,Male,22,Y,Divorced,College,Medical,Non-Travel,16,Very High,1,Very High,96,1123,7324,2935,13,2,80,Yes,1,1,1,0,0,0,Very High,2,Good,Excellent,Medium,No
1,23,Sales,Manager,Female,53,Y,Married,Master,Life Sciences,Travel_Rarely,2,Medium,4,Very High,78,1219,22021,15427,16,0,80,No,2,31,25,8,3,7,Low,3,Better,Excellent,High,No
1,24,Research & Development,Research Scientist,Male,38,Y,Single,Bachelor,Life Sciences,Travel_Rarely,2,High,1,Very High,45,371,4306,3944,11,0,80,Yes,5,6,3,2,1,2,Very High,3,Better,Excellent,High,No
1,26,Research & Development,Manufacturing Director,Female,24,Y,Divorced,College,Other,Non-Travel,11,Very High,2,High,96,673,8232,4011,18,1,80,No,0,5,4,2,1,3,Low,5,Good,Excellent,Very High,No
1,27,Sales,Sales Representative,Male,36,Y,Single,Master,Life Sciences,Travel_Rarely,9,Medium,1,Low,82,1218,6986,3407,23,0,80,No,7,10,5,3,0,3,High,4,Better,Outstanding,Medium,Yes
1,28,Research & Development,Research Director,Female,34,Y,Single,Master,Life Sciences,Travel_Rarely,7,High,3,Medium,53,419,21293,11994,11,0,80,No,0,13,12,6,2,11,Low,4,Better,Excellent,High,No
1,30,Research & Development,Research Scientist,Male,21,Y,Single,College,Life Sciences,Travel_Rarely,15,High,1,Very High,96,391,19281,1232,14,0,80,No,1,0,0,0,0,0,High,6,Better,Excellent,Very High,No
1,31,Research & Development,Research Scientist,Male,34,Y,Single,Below College,Medical,Travel_Rarely,6,High,1,Low,83,699,17102,2960,11,0,80,No,2,8,4,2,1,3,Medium,2,Better,Excellent,High,Yes
1,32,Research & Development,Manager,Female,53,Y,Divorced,Bachelor,Other,Travel_Rarely,5,High,5,High,58,1282,10735,19094,11,1,80,No,4,26,14,13,4,8,High,3,Good,Excellent,Very High,No
1,33,Research & Development,Research Scientist,Female,32,Y,Single,Below College,Life Sciences,Travel_Frequently,16,Low,1,Low,72,1125,4681,3919,22,0,80,Yes,1,10,10,2,6,7,Medium,5,Better,Outstanding,Medium,Yes
1,35,Sales,Sales Executive,Male,42,Y,Married,Master,Marketing,Travel_Rarely,8,High,2,Medium,48,691,21173,6825,11,1,80,No,0,10,9,7,4,2,High,2,Better,Excellent,Very High,No
1,36,Research & Development,Healthcare Representative,Female,44,Y,Married,Master,Medical,Travel_Rarely,7,Medium,3,Very High,42,477,2094,10248,14,1,80,No,3,24,22,6,5,17,Low,4,Better,Excellent,Very High,No
1,38,Sales,Manager,Female,46,Y,Single,Master,Marketing,Travel_Rarely,2,High,5,Low,83,705,22822,18947,12,0,80,No,3,22,2,2,2,1,Medium,2,Good,Excellent,Very High,No
1,39,Research & Development,Laboratory Technician,Male,33,Y,Single,Bachelor,Medical,Travel_Rarely,2,High,1,Very High,78,924,6670,2496,11,0,80,No,4,7,1,1,0,0,High,3,Better,Excellent,Very High,No
1,40,Research & Development,Healthcare Representative,Male,44,Y,Married,Master,Other,Travel_Rarely,10,High,2,Very High,41,1459,19121,6465,13,0,80,Yes,2,9,4,2,1,3,Very High,5,Best,Excellent,Very High,No
1,41,Research & Development,Laboratory Technician,Male,30,Y,Single,College,Medical,Travel_Rarely,9,Medium,1,High,83,125,16117,2206,13,0,80,No,1,10,10,0,1,8,Very High,5,Better,Excellent,Low,No
1,42,Sales,Sales Representative,Male,39,Y,Married,Bachelor,Technical Degree,Travel_Rarely,5,High,2,Very High,56,895,3335,2086,14,1,80,No,3,19,1,0,0,0,Very High,6,Best,Excellent,High,Yes
1,45,Research & Development,Research Scientist,Male,24,Y,Married,Bachelor,Medical,Travel_Rarely,1,High,1,Very High,61,813,3020,2293,16,1,80,Yes,2,6,2,0,2,0,Medium,2,Good,Excellent,Low,Yes
1,46,Research & Development,Research Scientist,Female,43,Y,Divorced,College,Medical,Travel_Rarely,2,Very High,1,High,72,1273,21923,2645,12,2,80,No,1,6,5,3,1,4,Very High,3,Good,Excellent,Very High,No
1,47,Sales,Sales Representative,Male,50,Y,Married,College,Marketing,Travel_Rarely,3,Medium,1,High,86,869,3810,2683,14,0,80,Yes,1,3,3,2,0,2,Low,2,Better,Excellent,High,Yes
1,49,Sales,Sales Representative,Female,35,Y,Married,Bachelor,Marketing,Travel_Rarely,2,High,1,Very High,97,890,9687,2014,13,0,80,No,1,2,2,2,2,2,Very High,3,Better,Excellent,Low,No
1,51,Research & Development,Research Scientist,Female,36,Y,Married,Master,Life Sciences,Travel_Rarely,5,Medium,1,Low,82,852,13072,3419,14,1,80,Yes,9,6,1,1,0,0,Medium,3,Best,Excellent,Very High,No
1,52,Sales,Sales Executive,Female,33,Y,Married,Bachelor,Life Sciences,Travel_Frequently,1,Very High,2,Low,42,1141,3193,5376,19,2,80,No,2,10,5,3,1,3,High,3,Better,Excellent,Low,No
1,53,Research & Development,Laboratory Technician,Male,35,Y,Divorced,College,Other,Travel_Rarely,4,High,1,Very High,75,464,10910,1951,12,1,80,No,1,1,1,0,0,0,High,3,Better,Excellent,High,No
1,54,Research & Development,Laboratory Technician,Female,27,Y,Divorced,Master,Life Sciences,Travel_Rarely,2,High,1,Low,33,1240,19715,2341,13,1,80,No,1,1,1,0,0,0,Very High,6,Better,Excellent,Very High,No
1,55,Research & Development,Laboratory Technician,Male,26,Y,Single,Bachelor,Life Sciences,Travel_Rarely,25,Low,1,High,48,1357,10558,2293,12,0,80,No,1,1,1,0,0,1,Low,2,Good,Excellent,High,Yes
1,56,Sales,Sales Executive,Male,27,Y,Single,Bachelor,Life Sciences,Travel_Frequently,8,High,3,High,37,994,2975,8726,15,0,80,No,1,9,9,8,1,7,Very High,0,Better,Excellent,Very High,No
1,57,Research & Development,Laboratory Technician,Female,30,Y,Single,College,Medical,Travel_Frequently,1,High,2,Very High,58,721,10781,4011,23,0,80,No,1,12,12,8,3,7,High,2,Better,Outstanding,Very High,No
1,58,Research & Development,Research Director,Female,41,Y,Married,Bachelor,Technical Degree,Travel_Rarely,12,High,5,High,49,1360,16280,19545,12,0,80,No,1,23,22,15,15,8,Medium,0,Better,Excellent,Very High,Yes
1,60,Sales,Sales Executive,Male,34,Y,Single,Master,Marketing,Non-Travel,23,High,2,High,72,1065,10034,4568,20,0,80,No,0,10,9,5,8,7,Medium,2,Better,Outstanding,High,No
1,61,Research & Development,Research Scientist,Male,37,Y,Married,College,Life Sciences,Travel_Rarely,19,High,1,Medium,73,408,10227,3022,21,0,80,No,4,8,1,0,0,0,Medium,1,Better,Outstanding,Low,No
1,62,Sales,Sales Executive,Male,46,Y,Single,Master,Marketing,Travel_Frequently,5,High,2,Very High,98,1211,20445,5772,21,0,80,Yes,4,14,9,6,0,8,Low,4,Better,Outstanding,High,No
1,63,Research & Development,Laboratory Technician,Male,35,Y,Married,Below College,Life Sciences,Travel_Rarely,8,Very High,1,Very High,36,1229,4892,2269,19,0,80,No,1,1,1,0,0,1,Very High,2,Better,Excellent,Very High,No
1,64,Research & Development,Laboratory Technician,Male,48,Y,Single,College,Life Sciences,Travel_Rarely,1,Medium,3,High,98,626,19294,5381,13,0,80,Yes,9,23,1,0,0,0,Low,2,Better,Excellent,Very High,Yes
1,65,Research & Development,Laboratory Technician,Male,28,Y,Single,Master,Technical Degree,Travel_Rarely,5,High,1,High,50,1434,11179,3441,13,0,80,Yes,1,2,2,2,2,2,High,3,Good,Excellent,High,Yes
1,68,Sales,Sales Executive,Female,44,Y,Divorced,Doctor,Marketing,Travel_Rarely,1,High,2,Low,75,1488,4009,5454,21,1,80,Yes,5,9,4,3,1,3,Medium,2,Good,Outstanding,High,No
1,70,Research & Development,Healthcare Representative,Male,35,Y,Married,College,Medical,Non-Travel,11,Medium,3,Low,79,1097,8302,9884,13,1,80,Yes,2,10,4,0,2,3,High,3,Better,Excellent,High,No
1,72,Sales,Sales Executive,Female,26,Y,Married,Bachelor,Marketing,Travel_Rarely,23,Medium,2,Very High,47,1443,21436,4157,19,1,80,Yes,7,5,2,2,0,0,High,2,Good,Excellent,High,No
1,73,Research & Development,Research Director,Female,33,Y,Single,College,Life Sciences,Travel_Frequently,1,High,3,Very High,98,515,15146,13458,12,0,80,Yes,1,15,15,14,8,12,Low,1,Better,Excellent,High,No
1,74,Sales,Sales Executive,Male,35,Y,Married,Doctor,Life Sciences,Travel_Frequently,18,High,3,Low,71,853,11031,9069,22,1,80,No,1,9,9,8,1,8,Medium,3,Good,Outstanding,Very High,No
1,75,Research & Development,Laboratory Technician,Female,35,Y,Married,Master,Medical,Travel_Rarely,23,High,1,Low,30,1142,16002,4014,15,1,80,Yes,3,4,2,2,2,2,High,3,Better,Excellent,High,No
1,76,Research & Development,Laboratory Technician,Male,31,Y,Divorced,Master,Life Sciences,Travel_Rarely,7,High,2,Very High,48,655,9528,5915,22,1,80,No,3,10,7,7,1,7,Very High,3,Good,Outstanding,Very High,No
1,77,Research & Development,Manufacturing Director,Male,37,Y,Divorced,Master,Life Sciences,Travel_Rarely,1,Medium,2,High,51,1115,2689,5993,18,1,80,No,1,7,7,5,0,7,Low,2,Best,Excellent,High,No
1,78,Research & Development,Manufacturing Director,Male,32,Y,Married,Bachelor,Medical,Travel_Rarely,1,High,2,Very High,33,427,10877,6162,22,1,80,Yes,1,9,9,8,7,8,Low,3,Better,Outstanding,Medium,No
1,79,Research & Development,Laboratory Technician,Female,38,Y,Single,Doctor,Life Sciences,Travel_Frequently,29,High,2,Very High,50,653,5456,2406,11,0,80,No,1,10,10,3,9,9,Very High,2,Better,Excellent,Very High,No
1,80,Research & Development,Research Director,Female,50,Y,Divorced,College,Medical,Travel_Rarely,7,Medium,5,High,43,989,16701,18740,12,1,80,Yes,5,29,27,3,13,8,Medium,2,Good,Excellent,Very High,No
1,81,Sales,Sales Executive,Female,59,Y,Single,Bachelor,Life Sciences,Travel_Rarely,25,High,3,Low,99,1435,2354,7637,11,0,80,No,7,28,21,16,7,9,Low,3,Good,Excellent,Very High,No
1,83,Research & Development,Healthcare Representative,Female,36,Y,Divorced,Bachelor,Technical Degree,Travel_Rarely,8,High,3,High,59,1223,8202,10096,13,3,80,No,1,17,17,14,12,8,High,2,Better,Excellent,Medium,No
1,84,Research & Development,Manager,Female,55,Y,Divorced,Bachelor,Medical,Travel_Rarely,8,High,4,High,33,836,19730,14756,14,3,80,Yes,2,21,5,0,0,2,Very High,2,Better,Excellent,High,No
1,85,Research & Development,Manufacturing Director,Male,36,Y,Single,Bachelor,Life Sciences,Travel_Frequently,11,Medium,2,Medium,95,1195,22656,6499,13,0,80,No,1,6,6,5,0,3,Medium,3,Better,Excellent,High,No
1,86,Research & Development,Research Scientist,Male,45,Y,Divorced,Bachelor,Life Sciences,Travel_Rarely,7,High,3,Low,59,1339,18787,9724,17,1,80,No,2,25,1,0,0,0,Medium,2,Better,Excellent,High,No
1,88,Research & Development,Research Scientist,Male,35,Y,Married,Bachelor,Medical,Travel_Frequently,1,High,1,Low,79,664,5868,2194,13,1,80,No,4,5,3,2,1,2,Medium,2,Good,Excellent,Very High,No
1,90,Research & Development,Research Scientist,Male,36,Y,Married,Bachelor,Medical,Travel_Rarely,9,Medium,1,High,79,318,21777,3388,17,1,80,Yes,0,2,1,0,0,0,Very High,0,Good,Excellent,Low,Yes
1,91,Sales,Sales Executive,Female,59,Y,Single,Below College,Life Sciences,Travel_Frequently,1,Medium,2,High,57,1225,24668,5473,11,0,80,No,7,20,4,3,1,3,Low,2,Good,Excellent,Very High,No
1,94,Research & Development,Research Scientist,Male,29,Y,Married,Bachelor,Life Sciences,Travel_Rarely,2,High,1,Medium,76,1328,4956,2703,23,1,80,No,0,6,5,4,0,4,High,3,Better,Outstanding,Very High,No
1,95,Research & Development,Research Scientist,Male,31,Y,Single,Master,Medical,Travel_Rarely,1,High,1,Medium,87,1082,18775,2501,17,0,80,No,1,1,1,1,1,0,High,4,Better,Excellent,Medium,No
1,96,Research & Development,Research Scientist,Male,32,Y,Married,Bachelor,Life Sciences,Travel_Rarely,1,High,2,Medium,66,548,7346,6220,17,2,80,No,1,10,10,4,0,9,Medium,3,Better,Excellent,Medium,No
1,97,Research & Development,Laboratory Technician,Female,36,Y,Married,Bachelor,Life Sciences,Travel_Rarely,6,Very High,1,Very High,55,132,22002,3038,12,0,80,No,3,5,1,0,0,0,Medium,3,Better,Excellent,Medium,No
1,98,Research & Development,Manufacturing Director,Female,31,Y,Single,Master,Life Sciences,Travel_Rarely,8,High,2,Very High,61,746,20682,4424,23,0,80,No,1,11,11,7,1,8,High,2,Better,Outstanding,Very High,No
1,100,Sales,Sales Executive,Male,35,Y,Single,Master,Marketing,Travel_Rarely,1,Medium,2,Low,32,776,23016,4312,14,0,80,No,0,16,15,13,2,8,High,2,Better,Excellent,Medium,No
1,101,Research & Development,Research Director,Male,45,Y,Married,Master,Other,Travel_Rarely,6,High,3,Low,52,193,15067,13245,14,0,80,Yes,4,17,0,0,0,0,Very High,3,Best,Excellent,Medium,No
1,102,Research & Development,Research Director,Male,37,Y,Single,Master,Medical,Travel_Rarely,7,High,3,High,30,397,25258,13664,13,0,80,No,4,16,5,2,0,2,Low,3,Best,Excellent,Low,No
1,103,Human Resources,Human Resources,Male,46,Y,Divorced,College,Medical,Travel_Rarely,5,High,2,Medium,80,945,10425,5021,22,1,80,Yes,8,16,4,2,0,2,Medium,2,Better,Outstanding,Very High,No
1,104,Research & Development,Laboratory Technician,Male,30,Y,Married,Below College,Life Sciences,Travel_Rarely,1,Medium,2,Very High,55,852,15998,5126,12,2,80,Yes,1,10,10,8,3,0,Very High,1,Good,Excellent,High,No
1,105,Research & Development,Research Scientist,Male,35,Y,Single,Bachelor,Medical,Travel_Rarely,1,Medium,1,High,30,1214,26278,2859,18,0,80,No,1,6,6,4,0,4,Medium,3,Better,Excellent,Low,No
1,106,Sales,Sales Executive,Male,55,Y,Married,College,Life Sciences,Travel_Rarely,1,High,3,Very High,70,111,18092,10239,14,1,80,No,3,24,1,0,1,0,Low,4,Better,Excellent,Very High,No
1,107,Research & Development,Research Scientist,Female,38,Y,Divorced,Bachelor,Medical,Non-Travel,6,Low,2,Very High,79,573,15717,5329,12,3,80,Yes,7,17,13,11,1,9,Medium,3,Better,Excellent,Very High,No
1,110,Research & Development,Manufacturing Director,Male,34,Y,Married,College,Medical,Travel_Rarely,1,High,2,Medium,94,1153,17736,4325,15,0,80,No,1,5,5,2,1,3,Low,2,Better,Excellent,High,No
1,112,Research & Development,Manufacturing Director,Male,56,Y,Single,Bachelor,Life Sciences,Travel_Rarely,7,Low,3,Very High,49,1400,21698,7260,11,0,80,No,4,37,6,4,0,2,Very High,3,Good,Excellent,Low,No
1,113,Sales,Sales Representative,Male,23,Y,Divorced,Below College,Technical Degree,Travel_Rarely,2,High,1,Low,62,541,9518,2322,13,1,80,No,3,3,0,0,0,0,High,3,Better,Excellent,High,No
1,116,Research & Development,Laboratory Technician,Male,51,Y,Married,Master,Life Sciences,Travel_Rarely,9,High,1,Very High,96,432,18725,2075,23,2,80,No,3,10,4,2,0,3,Very High,4,Better,Outstanding,Medium,No
1,117,Research & Development,Healthcare Representative,Male,30,Y,Married,Bachelor,Life Sciences,Travel_Rarely,2,Medium,2,Very High,99,288,15830,4152,19,3,80,No,1,11,11,10,10,8,High,3,Better,Excellent,Low,No
1,118,Sales,Sales Executive,Male,46,Y,Single,College,Medical,Travel_Rarely,9,Medium,3,Very High,64,669,13596,9619,16,0,80,No,1,9,9,8,4,7,High,3,Better,Excellent,Very High,Yes
1,119,Research & Development,Healthcare Representative,Male,40,Y,Married,Master,Life Sciences,Travel_Frequently,1,Medium,4,Medium,78,530,14115,13503,22,1,80,No,1,22,22,3,11,11,High,3,Good,Outstanding,Very High,No
1,120,Sales,Sales Executive,Male,51,Y,Single,Master,Marketing,Travel_Rarely,21,High,2,Very High,71,632,8423,5441,22,0,80,Yes,0,11,10,7,1,0,High,2,Bad,Outstanding,Very High,No
1,121,Sales,Sales Executive,Female,30,Y,Divorced,College,Medical,Travel_Rarely,4,Medium,2,Medium,63,1334,19760,5209,12,3,80,Yes,1,11,11,8,2,7,High,4,Good,Excellent,Medium,No
1,124,Research & Development,Healthcare Representative,Male,46,Y,Married,Bachelor,Medical,Travel_Frequently,1,Medium,3,Low,40,638,3142,10673,13,1,80,Yes,2,21,10,9,9,5,High,5,Good,Excellent,High,No
1,125,Sales,Sales Executive,Male,32,Y,Single,Master,Medical,Travel_Rarely,6,High,2,High,87,1093,24301,5010,16,0,80,No,1,12,11,8,5,7,Medium,0,Better,Excellent,Low,No
1,126,Research & Development,Research Director,Female,54,Y,Married,Master,Technical Degree,Travel_Rarely,2,High,3,High,60,1217,24001,13549,12,1,80,No,9,16,4,3,0,3,Low,5,Bad,Excellent,Low,No
1,128,Sales,Sales Executive,Female,24,Y,Married,College,Other,Travel_Rarely,3,High,2,High,33,1353,17519,4999,21,1,80,No,0,4,3,2,0,2,Low,2,Good,Outstanding,Low,No
1,129,Sales,Sales Executive,Male,28,Y,Married,Bachelor,Medical,Non-Travel,4,High,2,High,43,120,8863,4221,15,0,80,No,1,5,5,4,0,4,Medium,3,Best,Excellent,Medium,No
1,131,Sales,Sales Executive,Male,58,Y,Single,Master,Medical,Travel_Rarely,10,High,4,High,37,682,24409,13872,13,0,80,No,0,38,37,10,1,8,Very High,1,Good,Excellent,High,No
1,132,Research & Development,Laboratory Technician,Male,44,Y,Married,Bachelor,Medical,Non-Travel,23,High,2,Medium,67,489,25043,2042,12,1,80,No,4,17,3,2,1,2,Medium,3,Best,Excellent,High,No
1,133,Human Resources,Human Resources,Male,37,Y,Divorced,Master,Human Resources,Travel_Rarely,6,High,1,Low,63,807,23648,2073,22,0,80,Yes,4,7,3,2,0,2,High,3,Better,Outstanding,Very High,Yes
1,134,Research & Development,Research Scientist,Male,32,Y,Single,Below College,Life Sciences,Travel_Rarely,1,High,1,Low,71,827,15178,2956,13,0,80,No,1,1,1,0,0,0,Very High,2,Better,Excellent,Very High,No
1,137,Research & Development,Laboratory Technician,Female,20,Y,Single,Bachelor,Life Sciences,Travel_Frequently,6,Medium,1,Very High,66,871,19783,2926,18,0,80,Yes,1,1,1,0,1,0,Very High,5,Better,Excellent,Medium,Yes
1,138,Research & Development,Research Scientist,Female,34,Y,Single,Master,Other,Travel_Rarely,6,High,2,High,41,665,12482,4809,14,0,80,No,1,16,16,13,2,10,Low,3,Better,Excellent,High,No
1,139,Research & Development,Healthcare Representative,Male,37,Y,Divorced,College,Life Sciences,Non-Travel,2,Medium,2,Very High,100,1040,15850,5163,14,1,80,No,5,17,1,0,0,0,High,2,Best,Excellent,Very High,No
1,140,Human Resources,Manager,Female,59,Y,Married,Master,Human Resources,Non-Travel,2,Medium,5,Very High,32,1420,21922,18844,21,1,80,No,9,30,3,2,2,2,High,3,Better,Outstanding,Very High,No
1,141,Research & Development,Research Director,Female,50,Y,Married,Bachelor,Life Sciences,Travel_Frequently,1,High,5,Medium,73,1115,9755,18172,19,0,80,Yes,3,28,8,3,0,7,Low,1,Good,Excellent,Low,No
1,142,Sales,Sales Executive,Male,25,Y,Single,Bachelor,Marketing,Travel_Rarely,5,Medium,2,High,46,240,26959,5744,11,0,80,Yes,1,6,6,4,0,3,High,1,Better,Excellent,Very High,Yes
1,143,Research & Development,Research Scientist,Male,25,Y,Married,Below College,Medical,Travel_Rarely,7,Medium,1,Very High,64,1280,26897,2889,11,2,80,No,1,2,2,2,2,1,Very High,2,Better,Excellent,High,No
1,144,Research & Development,Laboratory Technician,Female,22,Y,Single,Bachelor,Medical,Travel_Rarely,15,High,1,Very High,59,534,23785,2871,15,0,80,No,1,1,0,0,0,0,Medium,5,Better,Excellent,High,No
1,145,Research & Development,Healthcare Representative,Female,51,Y,Single,Master,Medical,Travel_Frequently,1,Medium,3,Low,30,1456,25796,7484,20,0,80,No,3,23,13,12,12,8,Low,1,Good,Outstanding,High,No
1,147,Research & Development,Laboratory Technician,Male,34,Y,Single,Bachelor,Life Sciences,Travel_Frequently,7,Low,2,High,66,658,22887,6074,24,0,80,Yes,1,9,9,7,0,6,Low,3,Better,Outstanding,Very High,Yes
1,148,Human Resources,Manager,Female,54,Y,Single,Bachelor,Human Resources,Non-Travel,26,Very High,4,Very High,30,142,13871,17328,12,0,80,Yes,2,23,5,3,4,4,Very High,3,Better,Excellent,High,No
1,150,Research & Development,Laboratory Technician,Male,24,Y,Married,Below College,Life Sciences,Travel_Rarely,18,High,1,High,52,1127,13257,2774,12,1,80,No,0,6,5,3,1,2,Medium,2,Better,Excellent,High,No
1,151,Research & Development,Research Scientist,Female,34,Y,Divorced,Master,Life Sciences,Travel_Rarely,6,Medium,2,Medium,45,1031,15000,4505,15,1,80,No,6,12,1,0,0,0,High,3,Better,Excellent,High,No
1,152,Sales,Sales Executive,Male,37,Y,Single,Bachelor,Life Sciences,Travel_Rarely,3,High,3,Very High,87,1189,14506,7428,12,0,80,No,2,12,5,3,1,3,High,3,Better,Excellent,Low,No
1,153,Research & Development,Manager,Female,34,Y,Single,Bachelor,Medical,Travel_Rarely,5,Medium,3,Low,45,1354,5615,11631,12,0,80,No,2,14,11,10,5,8,High,6,Better,Excellent,Very High,No
1,154,Sales,Sales Executive,Female,36,Y,Married,College,Technical Degree,Travel_Frequently,11,High,3,Very High,92,1467,22952,9738,14,1,80,No,0,10,9,7,2,8,Medium,6,Better,Excellent,High,No
1,155,Research & Development,Laboratory Technician,Female,36,Y,Divorced,College,Life Sciences,Travel_Rarely,3,High,1,Very High,39,922,2561,2835,22,1,80,No,5,7,1,0,0,0,Low,2,Better,Outstanding,Low,No
1,158,Sales,Manager,Male,43,Y,Married,College,Life Sciences,Travel_Frequently,26,High,4,Very High,92,394,19494,16959,12,2,80,Yes,1,25,25,12,4,12,High,3,Best,Excellent,Very High,No
1,159,Research & Development,Research Scientist,Male,30,Y,Divorced,Bachelor,Life Sciences,Travel_Frequently,23,Low,1,High,96,1312,22310,2613,25,3,80,No,1,10,10,7,0,9,Low,2,Good,Outstanding,High,No
1,160,Sales,Sales Executive,Male,33,Y,Married,College,Marketing,Non-Travel,22,High,2,Medium,95,750,15480,6146,13,1,80,No,0,8,7,7,0,7,High,2,Best,Excellent,Low,No
1,161,Research & Development,Research Scientist,Female,56,Y,Married,Master,Life Sciences,Travel_Rarely,14,High,1,Medium,72,441,4510,4963,18,3,80,Yes,9,7,5,4,4,3,Medium,2,Better,Excellent,Low,Yes
1,162,Research & Development,Research Director,Male,51,Y,Single,Bachelor,Life Sciences,Travel_Rarely,6,High,5,High,51,684,6462,19537,13,0,80,No,7,23,20,18,15,15,Low,5,Better,Excellent,High,No
1,163,Sales,Sales Executive,Male,31,Y,Married,Master,Life Sciences,Travel_Rarely,6,Low,2,High,76,249,20739,6172,18,0,80,Yes,4,12,7,7,7,7,Medium,3,Good,Excellent,Medium,Yes
1,164,Research & Development,Research Scientist,Female,26,Y,Married,Bachelor,Other,Travel_Rarely,6,Medium,1,Medium,46,841,23300,2368,19,0,80,No,1,5,5,4,4,3,High,3,Good,Excellent,High,No
